cell_id,latitude,longitude,elevation,slope,aspect,curvature,land_cover,soil_clay_0_5cm,soil_sand_0_5cm,soil_silt_0_5cm,soil_bulk_density_0_5cm,susceptibility_prob,risk_tier,needs_refinement,rainfall_24h,rainfall_72h,rainfall_7d,rainfall_trigger_index,susceptibility_score,risk_score,risk_category,risk_mode,rainfall_status
COARSE_C00080,27.18,88.65900000000038,1304.0,22.313304901123047,1.902259826660156,-0.3167889416217804,30,282,376,342,107,0.9262,Very High,True,0.0,4.64,27.85,0.0627,0.9262,0.4935,Moderate,dynamic_composite,available
COARSE_C00081,27.18,88.66000000000038,1305.0,12.903855323791504,330.2955017089844,0.7390058636665344,10,282,376,343,107,0.5369,High,False,0.0,4.64,27.85,0.0627,0.5369,0.294,Low,dynamic_composite,available
COARSE_C00082,27.18,88.66100000000039,1292.0,10.63035774230957,5.553524494171143,0.1319743543863296,30,282,376,343,107,0.8913,Very High,True,0.0,4.64,27.85,0.0627,0.8913,0.4756,Moderate,dynamic_composite,available
COARSE_C00083,27.18,88.66200000000039,1287.0,14.55771541595459,345.82958984375,-0.6861656308174133,10,282,376,343,107,0.5563,High,False,0.0,4.64,27.85,0.0627,0.5563,0.3039,Low,dynamic_composite,available
COARSE_C00084,27.18,88.6630000000004,1291.0,14.340224266052246,35.88650131225586,0.0527139864861965,10,273,378,349,107,0.5075,High,False,0.0,4.64,27.85,0.0627,0.5075,0.2789,Low,dynamic_composite,available
COARSE_C00085,27.18,88.6640000000004,1304.0,12.794118881225586,51.2496452331543,0.2638224363327026,10,273,378,349,107,0.489,Moderate,False,0.0,4.64,27.85,0.0627,0.489,0.2694,Low,dynamic_composite,available
COARSE_C00086,27.18,88.6650000000004,1309.0,11.257453918457031,1.3072484731674194,-0.2639487087726593,10,273,372,355,107,0.4677,Moderate,False,0.0,4.64,27.85,0.0627,0.4677,0.2585,Low,dynamic_composite,available
COARSE_C00087,27.18,88.66600000000041,1311.0,19.53194236755371,5.140918254852295,-0.3430828154087066,10,273,372,355,107,0.5492,High,False,0.0,4.64,27.85,0.0627,0.5492,0.3003,Low,dynamic_composite,available
COARSE_C00088,27.18,88.66700000000041,1324.0,19.99884605407715,45.33253479003906,0.3430828154087066,10,268,375,356,107,0.5531,High,False,0.0,4.64,27.85,0.0627,0.5531,0.3023,Low,dynamic_composite,available
COARSE_C00089,27.18,88.66800000000042,1349.0,12.215289115905762,74.77383422851562,0.1055542305111885,10,268,375,356,107,0.4659,Moderate,False,0.0,4.64,27.85,0.0627,0.4659,0.2576,Low,dynamic_composite,available
COARSE_C00090,27.18,88.66900000000042,1362.0,6.776208877563477,27.2972354888916,0.2903688251972198,30,268,375,356,107,0.8611,Very High,True,0.0,4.64,27.85,0.0627,0.8611,0.4601,Moderate,dynamic_composite,available
COARSE_C00091,27.18,88.67000000000043,1356.0,12.275115966796877,331.3130187988281,-0.1055542305111885,10,268,375,356,107,0.4999,Moderate,False,0.0,4.64,27.85,0.0627,0.4999,0.275,Low,dynamic_composite,available
COARSE_C00092,27.18,88.67100000000043,1366.0,27.728071212768555,66.31182861328125,-0.1848145872354507,10,268,375,356,107,0.6072,High,False,0.0,4.64,27.85,0.0627,0.6072,0.33,Low,dynamic_composite,available
COARSE_C00093,27.18,88.67200000000044,1396.0,22.67387008666992,15.76785373687744,0.1321006119251251,10,270,388,341,107,0.5217,High,False,0.0,4.64,27.85,0.0627,0.5217,0.2862,Low,dynamic_composite,available
COARSE_C00094,27.18,88.67300000000044,1383.0,21.48846244812012,319.7627258300781,-0.2375285774469375,30,270,388,341,107,0.9219,Very High,True,0.0,4.64,27.85,0.0627,0.9219,0.4913,Moderate,dynamic_composite,available
COARSE_C00095,27.18,88.67400000000045,1379.0,19.784223556518555,25.418062210083008,-0.1319743543863296,10,270,383,347,107,0.5081,High,False,0.0,4.64,27.85,0.0627,0.5081,0.2792,Low,dynamic_composite,available
COARSE_C00096,27.18,88.67500000000045,1394.0,12.589390754699709,29.208850860595703,0.1055542305111885,10,270,383,347,107,0.431,Moderate,False,0.0,4.64,27.85,0.0627,0.431,0.2397,Low,dynamic_composite,available
COARSE_C00097,27.18,88.67600000000046,1412.0,13.342304229736328,36.40932846069336,0.8445600867271423,30,276,359,364,107,0.8889,Very High,True,0.0,4.64,27.85,0.0627,0.8889,0.4744,Moderate,dynamic_composite,available
COARSE_C00098,27.18,88.67700000000046,1421.0,13.735873222351074,49.61235809326172,0.3430828154087066,10,276,359,364,107,0.4611,Moderate,False,0.0,4.64,27.85,0.0627,0.4611,0.2551,Low,dynamic_composite,available
COARSE_C00099,27.18,88.67800000000047,1443.0,15.647723197937012,76.58634948730469,0.6597455143928528,10,277,359,364,108,0.4415,Moderate,False,0.0,4.64,27.85,0.0627,0.4415,0.2451,Low,dynamic_composite,available
COARSE_C00100,27.18,88.67900000000047,1460.0,16.77216339111328,78.33892822265625,-1.108508825302124,10,277,359,364,108,0.4338,Moderate,False,0.0,4.64,27.85,0.0627,0.4338,0.2411,Low,dynamic_composite,available
COARSE_C00101,27.18,88.68000000000048,1515.0,19.05440139770508,44.172462463378906,0.1583944708108902,10,277,359,364,108,0.431,Moderate,False,0.0,4.64,27.85,0.0627,0.431,0.2397,Low,dynamic_composite,available
COARSE_C00102,27.18,88.68100000000048,1537.0,14.71946620941162,49.51362991333008,-0.8445600867271423,10,272,358,369,108,0.3742,Moderate,False,0.0,4.64,27.85,0.0627,0.3742,0.2106,Low,dynamic_composite,available
COARSE_C00103,27.18,88.68200000000049,1565.0,20.125328063964844,72.58895111083984,-0.1055542305111885,10,272,358,369,107,0.4532,Moderate,False,0.0,4.64,27.85,0.0627,0.4532,0.2511,Low,dynamic_composite,available
COARSE_C00104,27.18,88.68300000000049,1601.0,11.86557960510254,71.98509216308594,1.0819623470306396,10,286,355,358,107,0.3659,Moderate,False,0.0,4.64,27.85,0.0627,0.3659,0.2063,Low,dynamic_composite,available
COARSE_C00105,27.18,88.6840000000005,1621.0,18.11060905456543,88.57693481445312,-0.1583944708108902,10,286,355,358,107,0.4107,Moderate,False,0.0,4.64,27.85,0.0627,0.4107,0.2293,Low,dynamic_composite,available
COARSE_C00106,27.18,88.6850000000005,1647.0,10.117253303527832,127.91588592529295,-0.607031524181366,10,294,321,385,107,0.3649,Moderate,False,0.0,4.64,27.85,0.0627,0.3649,0.2058,Low,dynamic_composite,available
COARSE_C00107,27.18,88.6860000000005,1676.0,20.965673446655277,79.6199722290039,-0.2902425527572632,10,294,321,385,107,0.4497,Moderate,False,0.0,4.64,27.85,0.0627,0.4497,0.2493,Low,dynamic_composite,available
COARSE_C00108,27.18,88.68700000000051,1700.0,9.343226432800291,110.21620178222656,0.6597455143928528,10,294,321,385,107,0.3376,Low,False,0.0,4.64,27.85,0.0627,0.3376,0.1918,Low,dynamic_composite,available
COARSE_C00109,27.18,88.68800000000051,1704.0,22.5450496673584,163.47665405273438,-0.2903688251972198,10,299,319,381,107,0.4652,Moderate,False,0.0,4.64,27.85,0.0627,0.4652,0.2572,Low,dynamic_composite,available
COARSE_C00110,27.18,88.68900000000052,1712.0,27.30568504333496,182.52066040039065,0.6334516406059265,10,299,319,381,108,0.4829,Moderate,False,0.0,4.64,27.85,0.0627,0.4829,0.2663,Low,dynamic_composite,available
COARSE_C00111,27.18,88.69000000000052,1720.0,43.36543273925781,162.65740966796875,-0.9764081835746764,10,305,323,372,108,0.6197,High,True,0.0,4.64,27.85,0.0627,0.6197,0.3364,Low,dynamic_composite,available
COARSE_C00112,27.18,88.69100000000053,1733.0,36.93048858642578,181.73098754882807,-0.4750571548938751,10,305,323,372,108,0.5569,High,True,0.0,4.64,27.85,0.0627,0.5569,0.3042,Low,dynamic_composite,available
COARSE_C00113,27.18,88.69200000000053,1736.0,31.155776977539062,168.7382354736328,-1.2403569221496582,10,305,323,372,108,0.4914,Moderate,False,0.0,4.64,27.85,0.0627,0.4914,0.2707,Low,dynamic_composite,available
COARSE_C00114,27.18,88.69300000000054,1754.0,35.66802978515625,154.1153564453125,-0.3695029318332672,10,305,323,372,108,0.5302,High,True,0.0,4.64,27.85,0.0627,0.5302,0.2905,Low,dynamic_composite,available
COARSE_C00115,27.18,88.69400000000054,1790.0,36.9682846069336,155.01904296875,2.4015796184539795,10,313,320,367,108,0.5448,High,True,0.0,4.64,27.85,0.0627,0.5448,0.298,Low,dynamic_composite,available
COARSE_C00116,27.18,88.69500000000055,1777.0,29.704757690429688,217.7995147705078,-0.3957968056201935,10,313,320,367,108,0.4719,Moderate,False,0.0,4.64,27.85,0.0627,0.4719,0.2607,Low,dynamic_composite,available
COARSE_C00117,27.18,88.69600000000055,1747.0,37.01717376708984,192.87522888183597,-0.0001262583973584,10,313,320,367,108,0.5585,High,True,0.0,4.64,27.85,0.0627,0.5585,0.3051,Low,dynamic_composite,available
COARSE_C00118,27.18,88.69700000000056,1758.0,40.007362365722656,166.5470733642578,2.24318528175354,10,309,313,378,108,0.5996,High,True,0.0,4.64,27.85,0.0627,0.5996,0.3261,Low,dynamic_composite,available
COARSE_C00119,27.18,88.69800000000056,1771.0,50.49326705932617,157.54783630371094,-4.776739120483398,10,309,313,378,108,0.6508,High,True,0.0,4.64,27.85,0.0627,0.6508,0.3524,Moderate,dynamic_composite,available
