fine_cell_id,parent_cell_id,parent_latitude,parent_longitude,parent_susceptibility,latitude,longitude,elevation,slope,aspect,curvature,land_cover,soil_clay_0_5cm,soil_sand_0_5cm,soil_silt_0_5cm,soil_bulk_density_0_5cm,fine_susceptibility,risk_delta,micro_risk_tier
FINE_C14203_068,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25015,88.71225,1050.0,47.65,62.92,11.0112,10,249,378,373,110,0.8486,0.1108,Extreme
FINE_C14203_069,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25015,88.71235,1050.0,47.65,62.92,11.0112,10,249,378,373,110,0.8486,0.1108,Extreme
FINE_C14203_070,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25015,88.71245,1055.0,35.84,53.02,0.0508,10,249,378,373,110,0.726,-0.0118,Very High
FINE_C14203_071,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25025,88.71155,971.0,22.51,68.74,-6.4999,10,277,368,354,112,0.5593,-0.1785,High
FINE_C14203_072,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25025,88.71165,971.0,22.51,68.74,-6.4999,10,277,368,354,112,0.5593,-0.1785,High
FINE_C14203_073,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25025,88.71175,971.0,22.51,68.74,-6.4999,10,277,368,354,112,0.5593,-0.1785,High
FINE_C14203_074,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25025,88.71185,1008.0,49.73,73.41,3.5614,10,277,368,354,112,0.8164,0.0786,Extreme
FINE_C14203_075,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25025,88.71195,1008.0,49.73,73.41,3.5614,10,249,378,373,111,0.8299,0.0921,Extreme
FINE_C14203_076,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25025,88.71205,1008.0,49.73,73.41,3.5614,10,249,378,373,111,0.8299,0.0921,Extreme
FINE_C14203_077,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25025,88.71215,1050.0,47.65,62.92,11.0112,10,249,378,373,111,0.8302,0.0924,Extreme
FINE_C14203_078,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25025,88.71225,1050.0,47.65,62.92,11.0112,10,249,378,373,110,0.8486,0.1108,Extreme
FINE_C14203_079,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25025,88.71235,1050.0,47.65,62.92,11.0112,10,249,378,373,110,0.8486,0.1108,Extreme
FINE_C14203_080,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25025,88.71245,1055.0,35.84,53.02,0.0508,10,249,378,373,110,0.726,-0.0118,Very High
